,Date,Review_Score,Name,Review_Text
31,"May 14, 2019",1,Chris Echoz,"Refuses to run on my rooted phone running Android 9 with Magisk and Magisk hide enabled for the app. How am I supposed to trust these people with my money when their approach to security is so idiotic and backwards you'd think they have no technical experience at all, let alone knowledge about security. Considering changing my bank if this cannot be resolved. Yay for your big new rewrite of the app, but what good is it if it's so riddled with anti-features it can't even do what the old one did."
32,"April 14, 2019",1,Kristina Rep,
33,"June 6, 2019",2,Lena S.K,
34,"July 2, 2019",1,Modris Bratkus,"Terrible upgrade, actually NO,tremendous downgrade!! Why would i use app,that requires same effort to check my balance, as any browser would take!??! Even better,now i cant find app.exe anywhere on my phone after installing,(not in widgets, hidden or any other place),only option to launch now is thr...Full Review"
35,"May 31, 2019",1,Slavia Polandia,
36,"June 14, 2019",1,david daniel lapusneanu,"You really need to update this app...make it better..Everytime i do something else exept checking my balance i get an error saying ""Sorry something went wrong, we'll fix the problem as soon as we can, please try again later"" and if i try later it still doesn't work.."
37,"March 28, 2019",1,Sindri Jóelsson,"The current version of the app has a very poor user experience, it is very unresponsive. It also has other UX issues.   It takes on average 3 seconds to navigate between areas/pages the app, yes even the ""back"" arrow is slow. (3 seconds).  ""Me"" -> ""Home"" (3.5s)  ""Me"" -> ""Me/Accounts"" (3.5s)  In addition, when loading the ""Me/Accounts"" page of the app, it takes a another 3 seconds to be able to scroll down to see your other accounts. Is this a separate query because you've used paginated data or something?  I've noticed the ""material"" animation on the button always finishes before navigation happens, I hope the app is not waiting for animations to finish before issuing queries? I say this because it happens even for pages that do not have to load data, like ""Me"" -> ""Me/Insurance""  The back arrow does not have any activation animation, together with the unresponsiveness it's hard to know if you've managed to tap it or not.  The transaction list and transaction detail view: Most transaction comments are truncated, tapping on it to go into the detail view does not help because it is not visible.  That's all that I can fit in this review."
38,"May 16, 2019",4,B Gunn,
39,"July 20, 2019",1,David Pajic,
40,"July 29, 2019",1,Michael Kardzhilov,
41,"March 20, 2019",1,Enrico Riccardi,"They had. agreat app. Now it is a total disaster. Slow, less functional amd constantly asking to log in. (Answer to answer) I hate to have a widget to check my balance (friends can see it while I swipe) and I hat tonot have a easy balance in and out for the last 30 days. Furthermore, the previous ap...Full Review"
42,"September 2, 2019",2,Alnazeer Fadlalla,
43,"September 5, 2019",1,A Google user,"Got error code 1027 during activation of the app. Called DNB, which told to reinstall Opera browser. I rather use another bank..."
44,"March 17, 2019",1,Kristian Martin,"First the issues with login after installation (see below,) then having to install Google Chrome just to get the app to work, then constant crashes and the inability to add accounts to the home screen. Now told to uninstall and reinstall the app because i have updated Android. ... Nei, jeg bruker ik...Full Review"
45,"March 30, 2019",1,bojan radovanovic,
46,"April 2, 2019",1,A Google user,new update for New version thumbs down.I have to log in with bank id everytime.earlier version one time log in and could see transactions on my account. I am using android. I did try uninstall and install. it's not working.
47,"April 22, 2019",1,Alexander Johansen,
48,"May 31, 2019",1,Marius Opdahl,
49,"April 28, 2019",1,kevin olsen,
50,"January 28, 2019",1,Wei Hai Deng,"The updated app just doesn't work. It's chock full of bugs. The fingerprint scanner doesn't always work, half the time it thinks I'm exiting the app instead, loading times are too long, viewing all my accounts crashes the app, and a number of other minor annoyances. The old app was well overdue an u...Full Review"
51,"February 25, 2019",5,Steven Warner,"This is a change to my previous one star review. Was about to send through a complaint as it had appeared the app had caused my phone to go into an infinite boot loop that even a factory reset would not sort out, but DNB checked with the developers and provided proof there was an issue with the late...Full Review"
52,"March 13, 2019",2,Christopher Santana,"I primarily used the old app to do a quick account balance check. Having to log in virtually every time defeats the purpose of having an app in the first place, and I might as well log in through the browser. Also, it seems a bit silly to enter the phone number of the phone from which I am using the app every time I log in with mobile bankID."
53,"February 22, 2019",1,A Google user,"After the last major update the app became completely useless. It doesn't keep me logged in and I have to carry around my bank code all the time if I want to use the app. And it's extra uncomfortable when I travel plus to that mobile id is not an option in this case cause I have a different sim card. Used to be a nice way to check my ballance on the go, but not anymore. :("
54,"January 25, 2019",1,Tommy Kristiansen,"You have to log in every time you open the app, this eliminates all useful features it would have as its a 3 step auth process every single time you open the app.   At least the old app worked and gave you info without bothering you, this is just bad.  It wont even let me use fingerprint login.  Who designed this garbage, DNB you better ask for your money back and do a rollback to the previous version because this is not good enough.  Least functional bank app I have had the displeasure of using."
55,"February 21, 2019",1,Gordon,"The app has become too cumbersome in use, is it really necessary to go through in-logging simply to check a balance? And why not allow the app to remember my phone number rather than have me tell it every time?  In 80-90% of the attempts at logging in, i'm left waiting, twiddling my thumbs, for the app to load the main page...... despite having full 4G coverage or router access, i'm more often than not told there has been an error, and given some cryptic error code......... becoming very frustrating.  The new app may look better, but functionally and convenience wise, its in most regards a downgrade."
56,"April 28, 2019",4,Emielian S,It works very well now. Thanks DNB.
57,"January 25, 2019",2,Marin Malnar,"A big step back - you now can't see your balance/latest transactions without having to log in. Even the (badly designed) widget demanded to log in afer a day. ... nice to have credit card account listed with other accounts now, but unfortunately it often has issues loading data. Give us the choice to use the old app please, it was much handier."
58,"March 9, 2019",1,A Google user,"Won't even open, crash on launch. I was told to call DNB so I did. Their support asked various questions about phone model, android version, system settings. Tried uninstall, restart phone, re-install. Tried wifi, mobile data. Nothing helped. No solution. No error code. Just crash on start every tim...Full Review"
59,"February 9, 2019",1,Pål Arne JANNANG,"Prefer the old app in all its simplicity (log-on with PIN only - unless security measures now dictate otherwise? No need to carry KEYGEN device to log-in. Regrettably Telenor charge if using ""BANK-ID på mobil"".). My requirement is basically to swiftly check balances and eventually equally easily transfer between accounts. Payments one can often execute via VIPPS. Seemingly this app is still in it's BETA stage? Cannot open attachments (PDF ?) to view payments the app requests me to authorise."
60,"February 5, 2019",1,Alan Belardinelli,"Remember the old app, where you could see your bank acct info and not go into a login death-spiral every time you tried to open the app to check your balances? Yeah, good times... Time to go bank shopping, I guess, because this app feels like an electronic metaphor representing how much DnB values me as a customer."
61,"March 10, 2019",1,Gunnar Söderman,"This app is just an appified web page that require your pin for public available services. Basically it is just a bunch of links. The devs were so lazy they didn't even bother to hide it. The old app was good, this one isn't. Any one can make great plans but ""great plans"" are not a product."
62,"February 11, 2019",1,Erik Kvaløy,"Every time the app starts it jumps past the point where I use my fingerprint and goes into the main menu. But since I haven't logged in it shows an error. I then have to stop the app and open it again. First then do I get to use my fingerprint to log in. other than that, the app is overall quite slow."
63,"February 8, 2019",4,Diana Diana,"I really wish it would have the option for you to see you balance without having to log in, as the previous version. Otherwise, it's no different than accesing in browser. I'm sure many used it primarily for that purpose, like me. I personally wish I could revert to the old me."
64,"February 7, 2019",1,Veronika Rusnakova,It is the worst app from bank i ever had.BankID everytime?With new update I do not see my company account and just nothing there. doesnt work and it honestly never worked as normal bank app. look at sparebank or Tatra banka(my homecountry bank app).This is just usefull unfotunately.And today I do no...Full Review
65,"March 11, 2019",1,Michael Berthelsen,"Having to log in to do absolutely anything is bad enough, even just the currency converter(!), but now you've managed to mess it up even worse! You had a functioning Currency Converter in the old app, so why the hell would you throw that out completely and have a link to your website instead?! And y...Full Review"
66,"July 5, 2019",1,Christopher Storvik,still fails to open even after all these months.
67,"January 18, 2019",1,Joachim Løkås,"Checks for root and blocks rooted phones. My phone isn't even rooted at the moment and is still blocked. This is absolutely unacceptable and shouldn't exist in 2019. At least just make a form one fills out and consents to that using the app on a rooted device is a risk, and any consequence are your own fault."
68,"January 23, 2019",2,H D,"Basic features as loan overview/ its detail is missing. Also the equity investments is not available to see even as quick look for profit and loss. should have option like segregated monthly expenses as in and out, can cluster yearly spendings by month. Allow user to have stats for how much money spend on clothing, food, schools etc....classification of expenses.. Issues signing in via fingerprint"
69,"March 8, 2019",5,Maria Cordeiro,"Great design.🤗 The previous app had a better design and functionality in the currency calculator🤔 (What's really annoying is to have to press the ""try again"" button several times before the option of a new login is given 🤨) THIS FEATURE HAS BEEN CORRECTED SINCE I FIRST WROTE THE REVIEW. NOW IT'S ...Full Review"
70,"February 12, 2019",4,A Google user,"Simple Interface and Easy to Use. The app was very cumbersome to use earlier where if you wanted to make any transaction you will be sent to the browser, diluting the whole purpose of the app. The new update has put the app on the level of other better banking apps (like ING in NL). Easy sign up for...Full Review"
71,"January 24, 2019",1,Arild Hansen,
72,"February 5, 2019",1,Ben Johnson,"Constant crashing out makes this updated app an utter disappointment, and largely unusable. The reduced function app for kids is even worse, because their phones don't have BankID it's virtually useless for them. Bad apps, no contactless mobile payment, dated website means I'll be looking for a new bank soon."
73,"January 30, 2019",5,Utku Can Yücel,"fingerprint login doesn't work. in the previous version it was easy to see transactions this time you should pass 2 levels of login. also if you have more than one account it doesn't show up on the main page under accounts accordion. edit: after reinstalling, both fingerprint login and multiple acco...Full Review"
74,"January 22, 2019",1,A Google user,
75,"March 16, 2019",1,Christopher Roberts,
76,"February 9, 2019",1,Stephanie Konsulova,
77,"March 11, 2019",2,Robert Froud,
78,"January 26, 2019",1,Sheila Marie Santos Sosobrado,
79,"January 28, 2019",2,Kine Elandria Bjørnsdatter Haugmåne,
80,"March 9, 2019",2,A Google user,"Too complicated methods to login. Need a simple one for less paranoic users, eg. possibility to choose own PIN and use it afterwards without BankId or other bothersom tools. Fingerprint is useless in many scenarios thus belongs to complicated methods of login. Make PIN login possible. Take a look at...Full Review"
81,"January 16, 2019",2,leo jasonidhi,
82,"February 3, 2019",1,Pål Wilberg,
83,"March 30, 2019",1,Tomasz Jagodzinski,Can't connect!!!!!! Can't get trough verification with bankID/ID mobil. Serio?? Useless!!!!!!!!!!!!!
84,"February 15, 2019",1,Florent Meyer,
85,"February 10, 2019",1,Adam Rajewski,
86,"January 22, 2019",1,A Google user,
87,"January 18, 2019",1,A Google user,
88,"January 27, 2019",1,Amarjit Singh Marjara,
89,"March 10, 2019",3,Marcin Sliwa,"Unlike the old one, the new app requires to log in to check account balance and is slower. However, the widget with the account balance info is a big improvement."
90,"April 1, 2019",1,rorydog78,"This app pushes the dnb puls play store app onto my home screen, that shouldn't be allowed dnb, your app obviously is very suspicious."
91,"February 3, 2019",1,Darryl Jacobs,
92,"January 22, 2019",1,Alex Capra,
93,"January 25, 2019",1,Connie Gatillo,
94,"January 19, 2019",1,Phong Viet Phan,
95,"January 21, 2019",1,Wojciech Komornicki,I'm getting error 1010. I can't log in to app 😞. Older version was better... At least I could check my account balance.
96,"January 24, 2019",1,Max Mann,
97,"February 6, 2019",1,OKHS,"Far too many bugs, only works properly once in a blue moon. Can barely check my balance now after several tries."
98,"March 12, 2019",3,A Google user,"mobile banking don't work, the screen icon is gone, the interface sucks ....bad job...I want the previous version back where everythigs worked normally .....ok after almost 3 months and 2 installs it works now ....most of the times"
99,"February 1, 2019",1,Jovica Veljanovski,DNB when you pubish an app do you check for bugs at all? Previous version was bad but this one is horrible to that extent that is unusable at all. Please at least return previous version and hire competent people to make at least decent app you cheap ba.... Moving to another bank...
100,"January 22, 2019",1,Peter Psarologos,
101,"January 28, 2019",1,Kristaps Ābele,Login - error - retry - login - error - retry - login - error - retry - login - error - retry - use Vipps to check bank account. A 13 step process now (can be shortened by using Vipps straight away ) Miserable little app.
102,"May 4, 2019",1,Silent Death,
103,"January 21, 2019",1,Ignas Sangi,What a stupid update! Worst DNB app ever. Previous version was way better and more efficient in all possible terms. I think it's time to move to Sparebank1!
104,"January 14, 2019",4,A Google user,Good upgrade in years. Possibly now in the game for one of the best Apps in Norway. Loved the Payments tab with nice overview and Biometrics is smart.
105,"September 19, 2018",1,Ahmed Chaabane,"- UI design & UX is really one of the worst i ever experienced on a banking app, this app needs and extreme redesign makeover. - Zero security, anyone have your phone can enter to your account.."
106,"January 16, 2019",1,P SS,Complete junk. You only get 1 star as there isn't an option for 0 stars. Can't log in via any method since latest update. Bunch of amateurs. Time to change banking provider.
107,"January 14, 2019",2,Pure85_Gaming,
108,"February 12, 2019",1,Rovin Bhandari,"Can make payments now which is nice but logging in hasn't worked in weeks, so basically can't use the app for anything anymore."
109,"February 1, 2019",1,Ngoc Huynh Bao,
110,"February 6, 2019",1,drinkilike,
111,"February 19, 2019",1,A Google user,"who had the idea to change the app? get that person and fire her. it was good as it was, now i have to log in everytime just to check my account. did anyone complain about the previous app? why change something thats good and for worse? before you did this mess do you even ask your costumers? DNB just went from best NetBank app ever to retard app. very bad choice guys. next time listen to your costumers instead of your programmers and marketing staff"
112,"October 13, 2018",1,Carlos Cancela Pinto,"Probably the worst bank app I ever seen. Poor UX and UI, icons that redirect to web pages, but the worst is the lack of security features - no pin or password to login..."
113,"February 13, 2019",2,Axel Dachev,Every time I open the app it ask me for log in details! Also the widget working only if signed in! Not very convenient. Is there anything I can do to remain logged in?
114,"January 29, 2019",1,Joel Mendes,"The former app was really nice and easy to use, why is now necessary to login with bankID just to check the saldo and account movements?"
115,"January 21, 2019",1,Hina Ahmad,
116,"March 12, 2019",1,Lars Geir Whist Tvedt,
117,"January 17, 2019",1,Vaida Jakubėnaitė,
118,"May 15, 2019",1,stian christensen,
119,"January 25, 2019",1,Insanity Beckons,
120,"January 19, 2019",1,Carlos Henriquez,
121,"February 6, 2019",1,Irina Manolescu,
122,"February 2, 2019",2,Nathalie Magnus,
123,"April 5, 2019",1,Stefan Koelsch,
124,"May 5, 2019",1,Oreobambi,
125,"March 15, 2019",1,Vladica Maksimovic,
126,"February 25, 2019",1,John Lungu,
127,"March 21, 2019",5,Milan Nikolić,Last update is fixed a lots of problems...
128,"March 15, 2019",1,Chief koshi,
129,"January 19, 2019",1,A Google user,
130,"January 23, 2019",4,A Google user,"update: activating chrome helped, app is working now, no more 1010 error."
131,"January 19, 2019",1,Smriti Joshi,I couldn't login in after update. It says it can't be installed in rooted mobile 😑
132,"March 14, 2019",1,Håvard Anda Estensen,
133,"February 2, 2019",1,Taan Khreibi,
134,"March 19, 2019",1,Noreen O'Neill,
135,"January 30, 2019",1,Anders Kisen,No support for rooted devices.. Seriously? atleast give us a warning/make it our own risk or something. This is not gonna work out...
136,"February 8, 2019",1,A Google user,
137,"March 4, 2019",4,Hossein Salehi,After the last update I had to set my time setting to automatic. Now it works.
138,"March 13, 2019",1,Dinesh Mathur,
139,"January 24, 2019",1,Rajesh M.R,Not able to login. Have tried many times.
140,"February 4, 2019",1,Michael Cosford,
141,"January 16, 2019",1,[TSN] UHS Productions,
142,"March 15, 2019",3,Santiago Grilli,
143,"September 14, 2018",1,Mário J. Santos,Don't manage to log in...... always back to start.....waste of time .....
144,"January 29, 2019",1,Ivelina Dagsvold,
145,"April 4, 2019",1,Erick Arnberg,
146,"January 18, 2019",1,Mathias Joneid,Keep getting Errors and i can't logg inn anymore after the update
147,"February 14, 2019",1,Pavlimir Jaric,
148,"March 2, 2019",1,Clayton Bourne Johansen,
149,"March 5, 2019",2,Magna & Cielo Channel,
150,"January 31, 2019",1,tobimoto,
151,"January 27, 2019",1,Asajus Asaj,
152,"August 21, 2019",5,Lasse Jensen,
153,"April 5, 2019",1,Germain Myrseth,
154,"March 15, 2019",5,MemoryZone,New update made that i cant even login.
155,"July 2, 2019",5,Javlon Juraev,
156,"February 13, 2019",1,A Google user,
157,"February 2, 2019",1,Jake Husker,
158,"February 5, 2019",1,joe ward,
159,"February 8, 2019",2,Bruno Fomichov,
160,"January 20, 2019",1,Daren Tan,
161,"February 28, 2019",5,Jitender Pal Singh Randhawa,"Ok, Changing my review for the app after getting issue fixed and getting great help... Thanks Bjarne... :)"
162,"February 2, 2019",1,Nur Ramadhania,
163,"January 19, 2019",1,saneel dsouza,
164,"February 1, 2019",1,Daniel Nordstrøm Carlsen,Newest version not working if your device is rooted
165,"February 5, 2019",1,A Google user,New update is horrible and awfully time consuming.
166,"January 31, 2019",1,Glen Davies,
167,"February 26, 2019",2,ERWIN ECLARINAL,CAN'T LOG IN AFTER UPDATE error1012
168,"January 26, 2019",1,Lars Roll,
169,"January 26, 2019",4,A Google user,So I got a new update this morning and looks very neat! great job!
170,"January 27, 2019",1,Amjad Hussein,
171,"January 29, 2019",1,Gabriel Stav,New update is completely broken
172,"February 2, 2019",1,Rokas Sl,
173,"February 17, 2019",1,Sue Budd,
174,"January 27, 2019",2,A Google user,
175,"August 21, 2019",2,ibrahim0511 ali,
176,"January 27, 2019",1,Anja Niedermeier,
177,"August 21, 2019",1,Hansa Gamage,
178,"April 3, 2019",1,Mihaiu Emanuel,
179,"June 4, 2019",1,Bezar Ghazi,I had to reinstall the app because i had updated andriod
180,"February 5, 2019",1,A Google user,
181,"January 21, 2019",1,Fridtjof Wabakken,
182,"February 4, 2019",1,Thomas Larsson,
183,"January 26, 2019",1,igor arsov,
184,"July 20, 2019",5,Eamin Biplop,
185,"May 31, 2019",1,rami al hajj,
186,"January 26, 2019",1,Y,i don't like it 👎 i have to use onetimecode every time i need to check my balance 🤬
187,"May 25, 2019",1,Justinas Bernatavicius,ssllooww. firs version was much better
188,"January 30, 2019",1,A Google user,
189,"March 12, 2019",5,Joseph DeLuca,
190,"May 10, 2019",1,Lars Monstad,
191,"January 25, 2019",1,Karam Kogan,
192,"March 18, 2019",3,김유화,
193,"March 14, 2019",5,Kareann Stefansen,
194,"June 20, 2019",1,Sarah Benj,
195,"April 7, 2019",1,Havard Norstebo,
196,"May 2, 2019",1,Richard Stahl,
197,"February 2, 2019",1,Marko Vučemilović-Grgić,This app is an insult. Feels like DNB has spat in our faces..
198,"March 14, 2019",2,Gonçalo F.,
199,"January 30, 2019",1,Michael Hammer,
200,"February 1, 2019",1,Geir Nilsen,
201,"August 5, 2019",1,Salige Syndere,
202,"March 29, 2019",1,hamed inanlou,
203,"January 17, 2019",1,TSmy88,
204,"January 15, 2019",2,Minescu Emanuel,
205,"January 14, 2019",1,OleSAO,
206,"October 17, 2018",5,SM,My bank account is in my hand.
207,"February 8, 2019",1,Titas Rusa,
208,"January 27, 2019",1,Inga ziciute,
209,"March 16, 2019",5,Banda-e-Ishq بندہ ءِ عشق,
210,"January 30, 2019",1,Torkild Burud Bastesen,
211,"March 9, 2019",4,Hanna Ghaleb Shammout,It s working now 👍
212,"March 11, 2019",1,Ornellie Klara,
213,"February 12, 2019",1,Samer Sam,
214,"February 20, 2019",2,Alexander H,
215,"January 30, 2019",1,Usama Raja,
216,"January 23, 2019",1,Sten Peter William Karlsson,
217,"August 30, 2019",4,William Almnes,"Edit: fungerer etter å reinstallere. Fungerer bra, men føles som det er litt laggy på å reagere på klikk (>500ms). Kan være mobilen min, men andre apper på mobilen går raskere."
218,"August 22, 2019",5,Jessie Yue Guan,"Appen er helt grei. Den viser saldo og siste transaksjoner, men det får jeg sjekket via SMS også. Den gjør at man kan sende penger til andre, men det kan jeg gjøre med vipps også. Den gjør at man kan overføre penger mellom kontoer, men man får ikke overført penger til BSU-kontoen... Den får ikke fle...Full Review"
219,"August 21, 2019",3,Bengt Sviu,kan man gi mindre enn 0 stjerner. 3 typer inloggning har feil de første 40 forsøk i løpet av mange dager. jeg trenger den gamle appen om jeg skal rekke alt mitt arbeide.
220,"August 27, 2019",3,Ronny Larsen,"Ser her ja DNB, dette var bedre. Men... når jeg velger å logge inn med fingeravtrykk, insisterer appen at jeg skal bruke Biometric Login....... finner ingen måte å forandre dette på i innstillinger. Velger jeg fingeravtrykk, så er det jeg vil bruke."
221,"August 30, 2019",1,Mikael Jakobsen,
222,"August 31, 2019",2,thomas walker,"Den funker 2/3 av tiden. Scanningen av regninger plukker ikke opp kidnummeret, ofte ikke beløpet heller. Helt sprøtt egentlig, at ting ikke kan gjøres bedre. Jeg har vært kunde i snart 25 år. Er alt for mye i DNB som er lite imponerende. Banken er kanskje for stort for sitt eget beste. Treg skute å snu."
223,"August 27, 2019",1,Euroflex,
224,"September 5, 2019",1,Gisle Ekornrød,Min pixel2 ble opgradert til Android 10 og nå virker ikke appen lenger.....
225,"August 22, 2019",1,Shahab F.,
226,"September 11, 2019",1,Rohit Anand,
227,"August 22, 2019",5,Øivind Kristoffersen,Nå virker den som den skal.
228,"August 21, 2019",5,NAND KUMAR SAHU,
229,"August 21, 2019",1,Hakuna Mat,
230,"August 22, 2019",4,Regina Omokaro,
231,"August 21, 2019",5,Mengstab Tesfay Gebrehiwet,
232,"August 5, 2019",3,No Name,biometrisk pålogging fungerer type 1 av 20 ganger. får hele tiden feil med melding: an error occured. we are not able to log on. please try again. kan like gjerne fjernes når man uansett ender opp med å bruke bankid. ikke spesielt bra til å gjøre normale banktjenester heller. fungerer best for å kun...Full Review
233,"August 7, 2019",5,A Google user,"Marie: endret det igjen uten hell. Men avinstallerte og installerte appen på nytt, det funket. (Hadde kanskje holdt å rense cachen) Oppdaterer denne. Mye bra i appen. Men til min fortvilelse viser førstesiden alle 10-12 bankkonto jeg har eller deler på startsiden, selv om jeg har endret i appen til ...Full Review"
234,"August 21, 2019",5,Benjamin Olstad Haukås,
235,"July 1, 2019",1,Jan-Jaap van der Geer,
236,"July 30, 2019",1,Andreas Ytterland Pilskog,"Logger inn ca halvparten av gangene man prøver, viser ikke riktige kontoer når man kommer inn. 30/7/2019"
237,"July 3, 2019",1,Mathias :P,
238,"August 21, 2019",5,Martin Holøs,Nå funker den som bare det:)
239,"July 19, 2019",1,Isak L,
240,"August 21, 2019",4,Kjell J,"Hvis du har prøved denne appen tidligere og likte den ikke som meg, bør du gi denne en annen sjanse. DnB har oppdatert appen grundig i det siste året og lagt til en del gode funksjoner som var veldig savnet. gir den 4 ut av 5 for det er fremdeles tider hvor widgeten ikke fungerer eller at den ikke lar seg logge inn. solid app som gjør nettbanking fra mobilen mye enklere."
241,"July 11, 2019",1,Miran,"Det er ofte man ikke kan logge inn med fingeravtrykk/pin. Dette er en feil som har ligget i appen siden den ble ""forvandlet"" fra forrige versjon, der man var automatisk logget inn og kunne se kontoen med ett trykk. Tilgjengeligheten til den forrige versjonen er borte, og et mer ""sikkert"" alternativ har erstattet den. Dette alternativet fungerer sjeldent og man må ty til å logge inn med kodebrikke. Da kan man likegodt logge inn på nettleseren istedet for appen. En oppdatering er høyt nødvendig."
242,"July 15, 2019",3,S Berntsen,"Trenger lett tilgjengelig språk-innstilling. Ble automatisk satt til engelsk, siden jeg har mobilspråket på engelsk. Sku gjerne ha hatt appen på norsk, uten å måtte endre hele telefonen :) Ellers sliter appen med å oppdatere og vise betaling-siden, mistenker det kan være det elendige nettet her i Nord, men er ikke helt sikker siden det skjer stort sett hver gang jeg prøver å bruke mobilbanken. Helt grei app altså. 3/5."
243,"August 21, 2019",1,Glenn Marius Brøchner,
244,"August 30, 2019",1,Mazhar4fred Gondal,
245,"July 2, 2019",4,Jan Erik Loke Odinson Munin Vågenes,God App. Virker helt fint
246,"July 4, 2019",3,A Google user,blitt bedre nå
247,"August 21, 2019",5,Elizabeth Babajide,
248,"August 23, 2019",3,Simensen Tom Erik,
249,"August 22, 2019",5,Jonas Franz Sigurjonsson,
250,"August 21, 2019",5,Joh V.,
251,"June 24, 2019",1,Audun M. Gangstø,
252,"June 20, 2019",4,Lise Marie Nørgaard,"Bedre bruker opplevelse etter opptateringen, er mulighet for forberedelser. Jeg er veldig fornøyd at vi android brukere har fått fingeravtrykk for lettere innlogging. Greit og enkelt å betale regninger. Fint og brukervennlig oppstett. Fornøyd! PS: Dags dato har dere teknisk problem med nettbanken.."
253,"June 14, 2019",1,Lui,"fin. nyttig. liker i prinsippet oppdateringen, hadde fårt 5 stjerner hvis den bare hadde fungert, men den er jo nede hele tiden?!"
